Year,Brazil,Ø EU,Ø USA,Ø World
2023,4.59,6.3,4.12,5.8
2022,9.28,8.83,8.0,7.99
2021,8.3,2.55,4.7,3.45
2020,3.21,0.48,1.23,1.94
2019,3.73,1.63,1.81,2.21
2018,3.66,1.74,2.44,2.45
2017,3.45,1.43,2.13,2.25
2016,8.74,0.18,1.26,1.61
2015,9.03,-0.06,0.12,1.44
2014,6.33,0.2,1.62,2.35
2013,6.2,1.22,1.46,2.62
2012,5.4,2.66,2.07,3.73
2011,6.64,3.29,3.16,4.82
2010,5.04,1.53,1.64,3.35
2009,4.89,0.84,-0.36,2.94
2008,5.68,4.16,3.84,8.95
2007,3.64,2.51,2.85,4.82
2006,4.18,2.67,3.23,4.28
2005,6.87,2.49,3.39,4.11
2004,6.6,2.29,2.68,3.38
2003,14.71,2.09,2.27,3.03
2002,8.45,2.42,1.59,2.83
2001,6.84,3.37,2.83,3.84
2000,7.04,3.15,3.38,3.49
1999,4.86,2.16,2.19,3.08
1998,3.2,2.42,1.55,5.11
1997,6.93,3.11,2.34,5.57
1996,15.76,3.56,2.93,6.55
1995,66.01,4.43,2.81,9.15
1994,2075.89,4.72,2.61,10.32
1993,1927.38,4.85,2.95,7.51
1992,951.96,6.22,3.03,7.71
1991,432.79,5.48,4.23,9.0
1990,2947.73,6.15,5.4,8.13
1989,1430.72,6.26,4.83,7.0
1988,629.11,4.54,4.08,7.15
1987,228.34,4.02,3.66,5.76
1986,147.14,3.68,1.9,5.82
1985,225.99,5.4,3.55,6.86
1984,192.12,7.67,4.3,8.12
1983,135.03,8.67,3.21,8.77
1982,100.54,9.58,6.13,10.24
1981,101.73,11.77,10.33,12.47
